Date : 2025-10-01 12:48:48
Directory : c:\Users\ashis\autoform
Total : 95 files,  13185 codes, 121 comments, 2344 blanks, all 15650 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\ashis\autoform\public\globe.svg                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ashis\autoform\public\google.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ashis\autoform\public\next.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ashis\autoform\public\vercel.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ashis\autoform\public\window.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ashis\autoform\store\state.ts                                    | TypeScript         |         18 |          0 |          3 |         21 |
| c:\Users\ashis\autoform\tsconfig.json                                     | JSON with Comments |         27 |          0 |          1 |         28 |
| c:\Users\ashis\autoform\utils\cookies.ts                                  | TypeScript         |         22 |          0 |          3 |         25 |
| c:\Users\ashis\autoform\utils\utils.ts                                    | TypeScript         |          0 |          0 |          1 |          1 |
| Total                                                                     |                    |     13,185 |        121 |      2,344 |     15,650 |
+---------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
